fid,GID_0,COUNTRY,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,SIS_RegionName,ToSplit
2956,SYC,Seychelles,SYC.9_1,Bel Air,NA,NA,District,District,NA,SC.BA,NA,Seychelles (main island group),NA
2957,SYC,Seychelles,SYC.10_1,Belombre,NA,NA,District,District,NA,SC.BO,NA,Seychelles (main island group),NA
2958,SYC,Seychelles,SYC.11_1,Cascade,NA,NA,District,District,NA,SC.CA,SC-11,Seychelles (main island group),NA
2959,SYC,Seychelles,SYC.12_1,English River,NA,NA,District,District,NA,SC.RA,SC-16,Seychelles (main island group),NA
2960,SYC,Seychelles,SYC.13_1,Glacis,NA,NA,District,District,NA,SC.GL,NA,Seychelles (main island group),NA
2961,SYC,Seychelles,SYC.14_1,Grand' Anse,NA,NA,District,District,NA,SC.GM,NA,Seychelles (main island group),NA
2962,SYC,Seychelles,SYC.15_1,Grand'Anse Praslin,NA,NA,District,District,NA,SC.GP,NA,Seychelles (main island group),NA
2963,SYC,Seychelles,SYC.16_1,La Digue and Inner Islands,NA,NA,District,District,NA,SC.DI,NA,Seychelles (main island group),NA
2964,SYC,Seychelles,SYC.17_1,Les Mamelles,NA,NA,District,District,NA,SC.LM,NA,Seychelles (main island group),NA
2965,SYC,Seychelles,SYC.18_1,Mont Buxton,NA,NA,District,District,NA,SC.MB,NA,Seychelles (main island group),NA
2966,SYC,Seychelles,SYC.19_1,Mont Fleuri,NA,NA,District,District,NA,SC.MF,NA,Seychelles (main island group),NA
2967,SYC,Seychelles,SYC.20_1,Outer Islands,NA,NA,Outer Islands,Outer Islands,NA,SC.OI,NA,Seychelles (main island group),1
2968,SYC,Seychelles,SYC.21_1,Plaisance,NA,NA,District,District,NA,SC.PL,NA,Seychelles (main island group),NA
2969,SYC,Seychelles,SYC.22_1,Pointe La Rue,NA,NA,District,District,NA,SC.PR,NA,Seychelles (main island group),NA
2970,SYC,Seychelles,SYC.23_1,Port Glaud,NA,NA,District,District,NA,SC.PG,NA,Seychelles (main island group),NA
2971,SYC,Seychelles,SYC.24_1,Roche Caïman,NA,NA,District,District,NA,SC.RC,NA,Seychelles (main island group),NA
2972,SYC,Seychelles,SYC.25_1,Saint Louis,NA,NA,District,District,NA,SC.SL,NA,Seychelles (main island group),NA
2973,SYC,Seychelles,SYC.26_1,Takamaka,NA,NA,District,District,NA,SC.TA,SC-23,Seychelles (main island group),NA
3170,TUR,Turkey,TUR.1_1,Adana,Seyhan,NA,Il,Province,NA,TR.AA,TR-01,T�rkiye-in-Asia,NA
3171,TUR,Turkey,TUR.2_1,Adiyaman,Adıyaman,NA,Il,Province,NA,TR.AD,TR-02,T�rkiye-in-Asia,NA
3172,TUR,Turkey,TUR.3_1,Afyon,Afyonkarahisar,NA,Il,Province,NA,TR.AF,NA,T�rkiye-in-Asia,NA
3173,TUR,Turkey,TUR.4_1,Agri,Ağri|Karaköse,NA,Il,Province,NA,TR.AG,TR-04,T�rkiye-in-Asia,NA
3174,TUR,Turkey,TUR.5_1,Aksaray,NA,NA,Il,Province,NA,TR.AK,TR-68,T�rkiye-in-Asia,NA
3175,TUR,Turkey,TUR.6_1,Amasya,NA,NA,Il,Province,NA,TR.AM,TR-05,T�rkiye-in-Asia,NA
3176,TUR,Turkey,TUR.7_1,Ankara,Ancara|Angora,NA,Il,Province,NA,TR.AN,TR-06,T�rkiye-in-Asia,NA
3177,TUR,Turkey,TUR.8_1,Antalya,Adalia|Anatolia,NA,Il,Province,NA,TR.AL,TR-07,T�rkiye-in-Asia,NA
3178,TUR,Turkey,TUR.9_1,Ardahan,NA,NA,Il,Province,NA,TR.AR,TR-75,T�rkiye-in-Asia,NA
3179,TUR,Turkey,TUR.10_1,Artvin,Çoruh,NA,Il,Province,NA,TR.AV,TR-08,T�rkiye-in-Asia,NA
3180,TUR,Turkey,TUR.11_1,Aydin,Aydın,NA,Il,Province,NA,TR.AY,TR-09,T�rkiye-in-Asia,NA
3181,TUR,Turkey,TUR.12_1,Balikesir,Balıkesir|Balikisri,NA,Il,Province,NA,TR.BK,TR-10,T�rkiye-in-Asia,NA
3182,TUR,Turkey,TUR.13_1,Bartın,NA,NA,Il,Province,NA,TR.BR,NA,T�rkiye-in-Asia,NA
3183,TUR,Turkey,TUR.14_1,Batman,NA,NA,Il,Province,NA,TR.BM,TR-72,T�rkiye-in-Asia,NA
3184,TUR,Turkey,TUR.15_1,Bayburt,NA,NA,Il,Province,NA,TR.BB,TR-69,T�rkiye-in-Asia,NA
3185,TUR,Turkey,TUR.16_1,Bilecik,NA,NA,Il,Province,NA,TR.BC,TR-11,T�rkiye-in-Asia,NA
3186,TUR,Turkey,TUR.17_1,Bingöl,Çapakçur,NA,Il,Province,NA,TR.BG,NA,T�rkiye-in-Asia,NA
3187,TUR,Turkey,TUR.18_1,Bitlis,NA,NA,Il,Province,NA,TR.BT,TR-13,T�rkiye-in-Asia,NA
3188,TUR,Turkey,TUR.19_1,Bolu,NA,NA,Il,Province,NA,TR.BL,TR-14,T�rkiye-in-Asia,NA
3189,TUR,Turkey,TUR.20_1,Burdur,NA,NA,Il,Province,NA,TR.BD,TR-15,T�rkiye-in-Asia,NA
